row;cell_raw;cell_name;article;name;place_qnt
182;1383-03.83.5;03-83-5;959389;Шкаф MS_Агат закрытый высокий АО-16 орех палдао;-7
459;1383-06.36.5;06-36-5;2014638;Экран к столам К-Loft 241P001 1112х16х500 графит;-28
526;1383-07.17.2;07-17-2;2176516;Тумба PT Арго . подкатная 4 ящика АТЛ-04 орех гварнери;-32
786;1383-10.15.7;10-15-7;1374641;Тумба MET_мобильная разб. белый;-325
849;1383-11.13.5;11-13-5;2161119;Кресло VT_Chairman 545 Россия ткань серый Б/П;-3
1019;1383-13.29.6;13-29-6;1986537;Тумба Комус Мебель подкатная WELL 3ящ.размер 595х400х445 Дуб Урб. Янтарный;-40
1136;1383-14.79.6;14-79-6;1994481;Кресло ТП 685 LT ткань Т,черный,пластик;-12
1213;1383-15.40.6;15-40-6;967897;Стол Д_EASY Director рукля Ш1600 ДСП мел. дуб шамони тем.122;-11
1260;1383-16.18.2;16-18-2;967909;Приставка - брифинг Д_EASY Director 4 ДСП мел. дуб шамони темный 122;-11
1319;1383-17.13.6;17-13-6;967894;Стеллаж Д_EASY Director широк .сер 771/дуб шамони св.124 арт.005.707;-14
1342;1383-17.27.6;17-27-6;1642705;Стол письменный Easy One LT 22/16 1200х600х740 дуб сонома;-20
1758;1383-23.43.6;23-43-6;967909;Приставка - брифинг Д_EASY Director 4 ДСП мел. дуб шамони темный 122;-30
1841;1383-24.18.3;24-18-3;1462613;Тумба SP Бюджет стационарная б/з 2557-р (402985) дуб сонома;-18
1996;1383-25.35.6;25-35-6;958981;Стол Easy One 908864 дуб сонома Ш1400 Г730;-18
2027;1383-25.51.5;25-51-5;839781;Стол Easy One 908864 серый Ш1400 Г730;-18
2096;1383-26.17.2;26-17-2;1416833;Кресло VB_EChair-655/SL/BL TTW сетка/ткань черный хром;-9
2686;1383-30.20.4;30-20-4;2015688;Кресло VT_Chairman 600LT чер.пласт экопремиум черный;-9
2938;1383-31.26.4;31-26-4;2230939;Кресло VB_Бюрократ CH-607BS черный сетка/ткань;-9
3225;1383-32.33.2;32-33-2;329252;Кресло ТП 304 сетка/ткань,черный,пластик;-18
3323;1383-32.64.4;32-64-4;2230939;Кресло VB_Бюрократ CH-607BS черный сетка/ткань;-9
4205;1383-35.7.4;35-7-4;1909690;Кресло VB_EChair-510 TW сетка/ткань черный хром;-9
4485;1383-36.64.3;36-64-3;2407657;Кресло БР Комус Мебель EChair 665 ткань,серый,пластик;-9
5022;1383-38.5.2;38-5-2;1095202;Кресло VB_EChair-655 TTW11 ткань черный, пластик;-4
