row;cell_raw;cell_name;article;name;place_qnt
145;1383-71.71.6;71-71-6;125457;Шкаф для одежды металлический P_ШРМ22М(800) 2 дв. 800х500х1860;11
478;1383-47.23.6;47-23-6;1132956;Доска магнитно-маркерная поворотная Attache Twist 100х150см;15
1462;1383-65.55.6;65-55-6;550709;Стул UP_конференц Silwia (Сильвия) каркас хром, к/з синий Z06;12
1466;1383-65.56.6;65-56-6;2043543;Стул КО_РС01.00.00С Серна каркас черный, к/з черный 201;64
1645;1383-76.21.2;76-21-2;2258115;Морозильный ларь Centek CT-4005 <293л> 3 корзины;1
1684;1383-76.20.2;76-20-2;2098231;Стиральная машина Beko WSPE6H616W;1
1698;1383-76.23.2;76-23-2;2258107;Морозильный ларь Centek CT-1787 198л 2 пл. корзины;1
1771;1383-62.55.6;62-55-6;2150923;Кровать CAM_металлическая одноярусная Бюджет+ 900х1900,сетка 100х50;20
1782;1383-77.43.3;77-43-3;2171068;Кресло MV_ Комус Мебель Balance (Bu1-2) к/з Or.16/Ec.3001 черн;2
1814;1383-76.26.2;76-26-2;2008178;Сушильная машина профессиональная ASKO TDC1485VB.T, вместимость 8кг;2
1959;1383-69.51.6;69-51-6;1397333;Стул FA_EChair Rio(ИЗО) черн, ткань черная С-11/ТК-1;40
2332;1383-76.32.2;76-32-2;2344761;Стиральная машина F1296TD4 LG;1
2366;1383-76.20.3;76-20-3;2344758;Стиральная машина F2V3GS3W LG;2
2474;1383-65.68.6;65-68-6;573684;Стул БМФ Easy Chair Rio(ИЗО) хром, пластик синий;30
2475;1383-65.71.6;65-71-6;573684;Стул БМФ Easy Chair Rio(ИЗО) хром, пластик синий;30
2520;1383-76.39.3;76-39-3;218379;Скамья К_СК-1-2000 сосна, 2000х350х480;36
2926;1383-63.48.6;63-48-6;2502159;Кресло кассира индивидуальный заказ;16
2938;1383-64.48.6;64-48-6;2502159;Кресло кассира индивидуальный заказ;16
2939;1383-64.51.6;64-51-6;2502159;Кресло кассира индивидуальный заказ;16
2940;1383-64.59.6;64-59-6;2502159;Кресло кассира индивидуальный заказ;16
2941;1383-64.67.6;64-67-6;2502159;Кресло кассира индивидуальный заказ;16
2972;1383-64.64.6;64-64-6;2494990;Кровать CAM_металлическая двухъярусная с лест.и ограж. 800х1900,сет.100х50;10
3080;1383-76.30.2;76-30-2;896209;Холодильник Саратов 550 (КШ 122);2
3121;1383-47.13.6;47-13-6;2420256;Матрас LF_Doppio Premium Eco 090х200;12
3122;1383-47.28.6;47-28-6;2420256;Матрас LF_Doppio Premium Eco 090х200;12
3156;1383-71.59.6;71-59-6;2253920;Шкаф для сyмoк S_P_ШРМ14, 4 дв. 300х500х1860 (Д) (34395);16
3184;1383-76.35.2;76-35-2;2403752;Морозильник Nord DF 260NF BAP;2
3349;1383-76.29.2;76-29-2;125447;Шкаф для бумаг P_ШАМ12(680) 425х500х680;15
3392;1383-76.33.2;76-33-2;2403590;Холодильник Nord NR 403 AW;2
3462;1383-65.60.6;65-60-6;2449343;Шкаф хозяйственный CBNT 2L-B1C-800 800x500x1850;15
3482;1383-64.56.6;64-56-6;2449344;Шкаф для бумаг CBNT FC-A18 900х400х1850;15
3605;1383-76.24.3;76-24-3;272967;Стеллаж металлический MZ_МКФ18615-2.5 груз. 5 полок 1830х610х2500;10
3646;1383-64.52.6;64-52-6;1585106;Кровать металлическая FM_Севилья-2 двухъярусная 198х96х163 черный;10
3823;1383-69.62.6;69-62-6;2415810;Сплит-система BigTech BBO DW12DS-Y26ONF;8
3848;1383-76.25.2;76-25-2;2421270;Морозильник медицинский низкотемпературный МНТ-80 POZIS ларь;1
3860;1383-63.56.6;63-56-6;2415808;Сплит-система BigTech BBO DW07DS-Y26ONF;8
3904;1383-62.56.6;62-56-6;1585105;Кровать металлическая FM_Севилья-2 двухъярусная 198х96х163 коричневый;4
3960;1383-69.57.6;69-57-6;2415831;Сплит-система BigTech BBO DW18DS-Y26ONF;6
3990;1383-69.54.6;69-54-6;2415809;Сплит-система BigTech BBO DW09DS-Y26ONF;8
3992;1383-69.59.6;69-59-6;2415809;Сплит-система BigTech BBO DW09DS-Y26ONF;8
3994;1383-71.60.6;71-60-6;2415809;Сплит-система BigTech BBO DW09DS-Y26ONF;8
3997;1383-65.48.6;65-48-6;2415809;Сплит-система BigTech BBO DW09DS-Y26ONF;8
4000;1383-63.52.6;63-52-6;2415809;Сплит-система BigTech BBO DW09DS-Y26ONF;8
4001;1383-63.55.6;63-55-6;2415809;Сплит-система BigTech BBO DW09DS-Y26ONF;8
4088;1383-77.40.3;77-40-3;2202546;Диван АrtМ_Атланта (126172) 3-М,раскладн. Б/С, тк. рогож. Амур-7 сер;1
